image,jitter
Binge45.jpg,4.5
Water4.jpg,5
Water5.jpg,4
Water14.jpg,3.5
Binge1.jpg,4.5
Binge54.jpg,4
Binge43.jpg,4.5
Water16.jpg,3.5
Binge17.JPG,5
Binge51.jpg,4
Binge182.jpg,3.5
Water8.jpg,4.5
Binge22.jpg,3.5
Water7.jpg,5
Water15.jpg,4
Water10.jpg,3.5
Water1.jpg,5
Water11.jpg,3.5
Binge19.JPG,4.5
Binge140.jpg,5
Water20.jpg,3.5
Binge26.jpg,4.5
Binge123.jpg,4.5
Binge176.jpg,5
Binge91.jpg,3.5
Water3.jpg,4
Binge29.jpg,4
Water12.jpg,5
Binge20.jpg,5
Water2.jpg,4
Water6.jpg,4.5
Binge16.jpg,4.5
Water19.jpg,4.5
Water9.jpg,3.5
Water18.jpg,3.5
Water13.jpg,4
Water17.jpg,4
Binge53.jpg,5
Binge23.jpg,5
Binge28.jpg,4
